S4JobIndustry,S4EdExpected,S4OCC30EARN,S4JOBSECURE,S4JOBBALANCE,S4JOBCONTRIB,S4JOBDECISION,S4LOCATION,S4JOBTEAMWRK,S4ParEd,X4X2SES,X4HSCOMPSTAT,X4LOCALE,X4REGION,X4ATPRLVLA,X4PSLFSTFB16,Weight
Service,Bachelor's degree,30000,Equally important,More important than salary,More important than salary,Equally important,Less important than salary,Less important than salary,Associate's degree,0.0564,Diploma,Rural,South,"No degree, not enrolled",Not enrolled in postsecondary education and unemployed,332.13069466879
Other,Bachelor's degree,60000,Equally important,Equally important,Equally important,Equally important,More important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.3212,Diploma,Town,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,743.312614250408
STEM,Don't know,70000,More important than salary,Equally important,Equally important,Equally important,Equally important,Less important than salary,Bachelor's degree,0.5065,Diploma,Rural,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,52.8222676703728
Don't Know,"High school diploma, equivalent, or less",100000,Less important than salary,Equally important,Less important than salary,Less important than salary,Less important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.0168,Diploma,City,South,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,390.316071163748
Business and Management,Bachelor's degree,30000,More important than salary,More important than salary,Equally important,More important than salary,More important than salary,Equally important,Less than high school,-0.9381,Diploma,City,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,650.705799450895
STEM,Bachelor's degree,80000,More important than salary,Equally important,Equally important,Equally important,Equally important,More important than salary,Associate's degree,-0.1676,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,26.7610758272256
Don't Know,More than a bachelor's degree,250000,Equally important,Equally important,Less important than salary,Equally important,Equally important,Equally important,Associate's degree,-0.0215,Diploma,Suburb,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,653.393182850007
Arts and entertainment,Bachelor's degree,50000,More important than salary,More important than salary,More important than salary,Less important than salary,Less important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.4632,Diploma,Town,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,311.42793267365
Healthcare,More than a bachelor's degree,40000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,1.354,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,326.644035276508
Military and protective services,Some college,50000,Less important than salary,More important than salary,Less important than salary,More important than salary,Equally important,Equally important,Less than high school,-0.5753,Diploma,City,South,"No degree, not enrolled",Not enrolled in postsecondary education and unemployed,1994.68899734247
Military and protective services,More than a bachelor's degree,80000,More important than salary,Equally important,Equally important,More important than salary,Less important than salary,Equally important,Bachelor's degree,0.8904,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,425.363584570247
Don't Know,"High school diploma, equivalent, or less",60000,Equally important,More important than salary,More important than salary,Equally important,Equally important,Equally important,Bachelor's degree,0.3323,Diploma,Rural,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,673.804368935
Don't Know,Bachelor's degree,100000,More important than salary,Equally important,Less important than salary,More important than salary,Less important than salary,Less important than salary,More than a bachelor's degree,0.7361,Diploma,Rural,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,177.344568162601
Don't Know,Don't know,30000,Equally important,Equally important,Equally important,Equally important,More important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.7783,No HS credential,Suburb,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,216.847158638852
Arts and entertainment,Bachelor's degree,30000,Less important than salary,Less important than salary,More important than salary,Equally important,More important than salary,Equally important,More than a bachelor's degree,0.3355,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,211.228890441433
Healthcare,Bachelor's degree,60000,More important than salary,Equally important,Equally important,More important than salary,Less important than salary,More important than salary,Some college,-0.889,"GED, other HS equivalency, or certificate of attendance",Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,175.927811344931
Don't Know,Some college,50000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.0312,Diploma,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,37.9657698674964
Healthcare,Some college,40000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Some college,-0.6535,Diploma,City,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,103.181137190702
Education,More than a bachelor's degree,50000,Equally important,More important than salary,More important than salary,More important than salary,Less important than salary,Equally important,More than a bachelor's degree,1.3555,Diploma,City,West,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,284.08039245225
Don't Know,Bachelor's degree,90000,Equally important,Equally important,More important than salary,Less important than salary,Less important than salary,Less important than salary,Bachelor's degree,0.5585,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,34.9324674707505
Healthcare,More than a bachelor's degree,100000,Equally important,More important than salary,Equally important,Less important than salary,Less important than salary,Less important than salary,Bachelor's degree,0.4048,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,191.661047014495
Healthcare,More than a bachelor's degree,250000,Equally important,More important than salary,More important than salary,Equally important,Less important than salary,Less important than salary,More than a bachelor's degree,1.0416,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,84.4158307921652
STEM,Bachelor's degree,80000,Equally important,More important than salary,More important than salary,Equally important,More important than salary,Equally important,Bachelor's degree,0.4328,Diploma,Town,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,372.296096609632
Don't Know,Don't know,25000,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,Equally important,Less than high school,-1.3711,Diploma,Town,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,59.9349462763909
Don't Know,More than a bachelor's degree,250000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Some college,-1.2494,Diploma,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,1010.09663492372
Don't Know,More than a bachelor's degree,65000,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",-0.0808,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,183.361850445861
STEM,More than a bachelor's degree,50000,More important than salary,Equally important,More important than salary,More important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",-0.2245,Diploma,Town,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,128.076881436384
Don't Know,"High school diploma, equivalent, or less",20000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,Associate's degree,-0.3717,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,482.550111164341
STEM,Bachelor's degree,75000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,-0.4314,Diploma,City,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,174.294905679337
Arts and entertainment,Some college,80000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.5087,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,30.2055415896009
Military and protective services,More than a bachelor's degree,90000,More important than salary,More important than salary,Equally important,More important than salary,Equally important,Equally important,Bachelor's degree,0.9519,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,46.6656068678147
Military and protective services,Bachelor's degree,60000,More important than salary,Equally important,More important than salary,Equally important,More important than salary,Equally important,More than a bachelor's degree,1.0587,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,218.312546599651
Healthcare,Some college,1000,More important than salary,More important than salary,Equally important,Equally important,Equally important,More important than salary,"High school diploma, equivalent, or less",-1.0462,Diploma,Town,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,425.954601371825
Don't Know,More than a bachelor's degree,60000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Some college,-0.2711,Diploma,City,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,1086.02882247514
Arts and entertainment,Bachelor's degree,70000,More important than salary,Equally important,Less important than salary,Equally important,More important than salary,Less important than salary,More than a bachelor's degree,0.4047,Diploma,Town,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,23.7249426360401
Healthcare,Associate's degree,100000,Equally important,More important than salary,Less important than salary,Less important than salary,Equally important,Less important than salary,More than a bachelor's degree,1.3673,Diploma,Rural,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,967.187190144294
Business and Management,Don't know,250000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,Bachelor's degree,0.992,No HS credential,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,429.664026771822
Don't Know,Bachelor's degree,90000,Equally important,Equally important,Less important than salary,Equally important,Less important than salary,Less important than salary,Bachelor's degree,0.8074,Diploma,Rural,South,Attained associate's degree,Not enrolled in postsecondary education and not in the labor force,667.913025702245
Don't Know,Don't know,50000,More important than salary,Equally important,More important than salary,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.8828,Diploma,City,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,116.375646997996
Healthcare,More than a bachelor's degree,100000,More important than salary,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,More than a bachelor's degree,1.2326,Diploma,City,Midwest,Attained certificate,Enrolled in postsecondary education and not in the labor force,149.593623402063
Don't Know,More than a bachelor's degree,70000,Equally important,More important than salary,Equally important,More important than salary,Equally important,More important than salary,Bachelor's degree,0.0617,Diploma,City,Northeast,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,146.163574276946
Don't Know,Bachelor's degree,60000,Equally important,Equally important,Less important than salary,Less important than salary,Equally important,Less important than salary,More than a bachelor's degree,1.3394,Diploma,Suburb,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,168.804638385104
Military and protective services,Bachelor's degree,70000,Equally important,Equally important,Equally important,Less important than salary,Equally important,Equally important,More than a bachelor's degree,1.2361,Diploma,Suburb,Northeast,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,451.263309531714
Arts and entertainment,More than a bachelor's degree,85000,More important than salary,More important than salary,Equally important,Equally important,Less important than salary,Equally important,Associate's degree,0.1824,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,614.708830784584
Healthcare,More than a bachelor's degree,45000,More important than salary,Equally important,More important than salary,Equally important,Equally important,Equally important,More than a bachelor's degree,0.1803,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,44.6727575234819
Don't Know,More than a bachelor's degree,80000,Less important than salary,Equally important,Equally important,Equally important,More important than salary,Equally important,More than a bachelor's degree,1.2269,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,116.105809683801
Don't Know,More than a bachelor's degree,70000,Equally important,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Bachelor's degree,0.1725,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,44.9342535207921
Don't Know,Bachelor's degree,25000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,-0.3946,Diploma,Rural,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,595.425271250195
Don't Know,Don't know,20000,Less important than salary,More important than salary,Less important than salary,More important than salary,More important than salary,Less important than salary,More than a bachelor's degree,0.2852,Diploma,Town,Northeast,"No degree, not enrolled",Not enrolled in postsecondary education and not in the labor force,20.8105499372608
Education,More than a bachelor's degree,30000,More important than salary,Equally important,More important than salary,More important than salary,Less important than salary,More important than salary,Associate's degree,-0.1861,Diploma,Rural,South,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,590.644644654144
Healthcare,Bachelor's degree,50000,More important than salary,Equally important,Equally important,Less important than salary,Equally important,Less important than salary,More than a bachelor's degree,1.0239,Diploma,Rural,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,277.29983680385
Healthcare,Bachelor's degree,40000,More important than salary,Equally important,More important than salary,Equally important,More important than salary,Less important than salary,"High school diploma, equivalent, or less",-1.162,Diploma,Suburb,West,Attained certificate,Not enrolled in postsecondary education and employed part-time,74.4817932744311
Business and Management,Bachelor's degree,60000,Equally important,More important than salary,Equally important,Equally important,Less important than salary,Less important than salary,Some college,0.4587,Diploma,Town,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,94.8437371457643
Arts and entertainment,Bachelor's degree,50000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.6798,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,734.766806491572
Other,Some college,30000,Equally important,Equally important,Equally important,Less important than salary,Less important than salary,Less important than salary,"High school diploma, equivalent, or less",-1.0201,"GED, other HS equivalency, or certificate of attendance",City,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,395.885109396138
Other,Bachelor's degree,100000,Less important than salary,Less important than salary,Equally important,Less important than salary,Equally important,Less important than salary,Bachelor's degree,0.8866,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,71.386037836322
STEM,Bachelor's degree,150000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,0.9471,Diploma,City,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,52.0737933719318
Healthcare,More than a bachelor's degree,75000,Equally important,Equally important,Equally important,Less important than salary,Equally important,Equally important,Bachelor's degree,0.5852,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,92.5689325095013
Don't Know,Don't know,70000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.1452,Diploma,City,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,336.226931797443
Trades and technical,Some college,250000,Equally important,Equally important,Less important than salary,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.267,Diploma,Rural,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,370.534562638816
Healthcare,More than a bachelor's degree,100000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Equally important,Some college,-0.1193,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,45.879673537569
Don't Know,Some college,100000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.6406,Diploma,City,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,2014.99293850793
Business and Management,More than a bachelor's degree,60000,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Associate's degree,0.2283,Diploma,Suburb,West,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and not in the labor force,75.3829970986379
Military and protective services,Bachelor's degree,50000,Equally important,More important than salary,More important than salary,Equally important,More important than salary,Equally important,Associate's degree,0.1445,Diploma,Town,Northeast,"No degree, not enrolled",Not enrolled in postsecondary education and not in the labor force,241.065829931994
Service,Bachelor's degree,250000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.5645,Diploma,City,Midwest,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,142.096452141296
Other,More than a bachelor's degree,60000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Some college,-0.9949,Diploma,Suburb,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,409.797838025341
Education,More than a bachelor's degree,45000,More important than salary,More important than salary,More important than salary,Less important than salary,Equally important,Equally important,More than a bachelor's degree,1.3101,Diploma,Suburb,Northeast,Attained associate's degree,Enrolled in postsecondary education and employed part-time,197.361907722565
Don't Know,More than a bachelor's degree,80000,Equally important,Equally important,Equally important,Less important than salary,Less important than salary,Equally important,More than a bachelor's degree,1.8224,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,69.5138769631925
Education,More than a bachelor's degree,35000,More important than salary,Equally important,More important than salary,Less important than salary,More important than salary,Less important than salary,"High school diploma, equivalent, or less",-0.4749,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,208.065881860043
Trades and technical,Don't know,40000,Less important than salary,More important than salary,Less important than salary,Equally important,Less important than salary,Less important than salary,Associate's degree,0.5146,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,328.264711365739
Business and Management,More than a bachelor's degree,60000,More important than salary,More important than salary,Equally important,Equally important,More important than salary,Equally important,"High school diploma, equivalent, or less",-0.7178,Diploma,Town,Northeast,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed part-time,405.967698295922
Don't Know,More than a bachelor's degree,70000,Equally important,Equally important,Less important than salary,Equally important,Equally important,Less important than salary,Associate's degree,0.2431,Diploma,Rural,South,Item legitimate skip/NA,Not enrolled in postsecondary education and unemployed,38.2026842257842
Education,More than a bachelor's degree,60000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Equally important,Bachelor's degree,1.4716,Diploma,Rural,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,714.576275389305
Don't Know,Bachelor's degree,40000,More important than salary,More important than salary,Less important than salary,Equally important,Less important than salary,Equally important,Bachelor's degree,0.3308,Diploma,City,Midwest,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,690.500137318111
STEM,More than a bachelor's degree,75000,Equally important,More important than salary,Equally important,More important than salary,Equally important,Equally important,More than a bachelor's degree,0.8625,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,291.107729410711
Don't Know,"High school diploma, equivalent, or less",75000,Equally important,Equally important,Less important than salary,Equally important,Equally important,Less important than salary,Bachelor's degree,0.1841,Diploma,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and not in the labor force,423.019704466783
Healthcare,More than a bachelor's degree,100000,More important than salary,Less important than salary,More important than salary,Equally important,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.3188,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,254.896503629299
Don't Know,Bachelor's degree,40000,More important than salary,More important than salary,More important than salary,Equally important,Equally important,More important than salary,"High school diploma, equivalent, or less",0.0374,Diploma,City,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,212.666932655754
Business and Management,More than a bachelor's degree,40000,Equally important,Equally important,More important than salary,More important than salary,Less important than salary,Less important than salary,More than a bachelor's degree,1.0805,Diploma,Suburb,Northeast,"No degree, not enrolled",Not enrolled in postsecondary education and not in the labor force,531.842876279567
Trades and technical,"High school diploma, equivalent, or less",80000,Equally important,Equally important,Equally important,Equally important,Less important than salary,Equally important,Less than high school,-0.7641,No HS credential,Town,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,139.325855634291
Don't Know,Don't know,40000,Equally important,Less important than salary,Less important than salary,Equally important,Equally important,Equally important,Associate's degree,-0.2571,Diploma,Town,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,297.497052936062
Don't Know,Don't know,80000,Equally important,More important than salary,More important than salary,More important than salary,Equally important,Equally important,Some college,-0.3523,Diploma,City,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,396.682277441816
Don't Know,More than a bachelor's degree,150000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.6089,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,37.1411635301385
Business and Management,Bachelor's degree,60000,Less important than salary,More important than salary,Equally important,Equally important,Less important than salary,Less important than salary,Bachelor's degree,0.2771,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,82.9707823616059
Arts and entertainment,Bachelor's degree,250000,More important than salary,Equally important,Less important than salary,More important than salary,Less important than salary,More important than salary,Associate's degree,0.1227,"GED, other HS equivalency, or certificate of attendance",Town,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,343.169059121356
Don't Know,Bachelor's degree,80000,Equally important,Equally important,Less important than salary,Equally important,Equally important,Less important than salary,Associate's degree,0.8605,Diploma,Suburb,South,Attained associate's degree,Not enrolled in postsecondary education and employed full-time,99.9577401425478
Service,More than a bachelor's degree,60000,More important than salary,Equally important,More important than salary,Less important than salary,Equally important,Less important than salary,More than a bachelor's degree,-0.1062,Diploma,City,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,89.1945996793652
Business and Management,Bachelor's degree,100000,More important than salary,More important than salary,Equally important,Equally important,More important than salary,Equally important,Associate's degree,0.1748,Diploma,Suburb,Northeast,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,266.500614599234
Healthcare,More than a bachelor's degree,200000,More important than salary,More important than salary,Equally important,More important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",-0.5573,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,160.652066080766
Don't Know,Bachelor's degree,40000,Equally important,More important than salary,Equally important,Less important than salary,Equally important,Less important than salary,"High school diploma, equivalent, or less",0.1639,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,169.582612827906
Healthcare,Bachelor's degree,60000,More important than salary,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,0.3595,Diploma,Rural,South,Attained associate's degree,Enrolled in postsecondary education and employed part-time,211.895003592231
